Name,Home City,Rating,Saved,Lifeboat,Body Disposition
"Vine, H.",London,"Assistant controller, Ala Carte Restaurant",.,.,.
"Vioni, R.",London,"Waiter, Ala Carte Restaurant",.,.,.
"Voegelin, H.",London,"Coffeeman, Ala Carte Restaurant",.,.,.
"Wake, S.",Southampton,Assistant baker,.,.,.
"Wallis, Mrs.",Southampton,Matron,.,.,.
"Walpole, John",Southampton,Chief pantryman,.,.,.
"Walsh, Miss",Southampton,Stewardess,.,.,.
"Ward, E.",Southampton,Bedroom steward,.,.,.
"Ward, P.",Southampton,Bedroom steward,.,.,.
"Ward, William",Southampton,Saloon steward,saved,9,.
"Wareham, R.",Southampton,Bedroom steward,.,.,.
"Warwick, F.","Totton, Hampshire'",Saloon steward,.,.,.
"Watson, W.",Southampton,Bell boy,.,.,.
"Weatherstone, T.",Southampton,Saloon steward,.,.,.
"Webb, Brooke",Southampton,Smoke-room steward,.,.,.
"Weikman, August H. (RCC lists as Whiteman, A. H.)",Southampton,Barber,saved,Collapsible C,.
"Welch, W. H.",Southampton,Assistant cook,.,.,.
"Wheat, Joseph Thomas (TAT lists as Wheate)",Southampton,Assistant second steward,saved,11,.
"Wheelton, E.",Southampton,Saloon steward,saved,11,.
"White, A.",Portsmouth,Assistant barber,.,.,.
"White, J.",Portswood,G. H. steward,.,.,.
"White, L.",Southampton,Saloon steward,.,.,.
"Whitely, Thomas",London,Saloon steward,saved,Collapsible B,.
"Whitford, A.",Southampton,Saloon steward,.,.,.
"Widgery, James","Redland, Bristol",Baths,saved,9,.
"Williams, A.",Liverpool,Assistant storekeeper,.,.,.
"Williams, W.",Southampton,Assistant steward,saved,.,.
"Willis, W.",Southampton,Steward,.,.,.
"Wiltshire, W.",Southampton,Assistant butcher,.,.,.
"Windebank, J.",Southampton,sauce cook,saved,.,.
"Witter, James","Woolston, Hampshire",Second class smoke-room steward,saved,.,.
"Wittman, H.",Southampton,Bedroom steward,.,.,.
"Wood, J. T.",London,Assistant steward,.,.,.
"Wormald, T. (TTT gives initial as F.)",Southampton,Saloon steward,.,.,"yes, buried Baron de Hirsch Cemetery, Halifax NS"
"Wrapson, H.",Southampton,Assistant pantryman,.,.,.
"Wright, Fredrick",London,Racquet-court attendant,.,.,.
"Wright, W.",Southampton,G. H. steward,"not saved (RCC), saved (TAT)",13,.
"Yearsley, H.",Southampton,Saloon steward,saved,.,.
"Yoshack, J.",Southampton,Saloon steward,.,.,.
"Zarracchi, L.",Southampton,"Wine butler, Ala Carte Restaurant",.,.,.
